BHK,Size,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Rent
2,1000,1,4,0,1,2,0,20000
1,300,2,4,2,1,1,0,5000
2,1200,1,4,0,1,2,0,12000
2,500,2,4,1,1,1,0,10000
4,1200,1,4,2,2,2,0,18000
2,900,2,4,1,1,2,1,15000
3,1300,2,4,2,1,3,1,22000
4,1600,2,4,2,1,3,1,35000
3,1450,1,4,2,2,2,0,21000
2,1100,1,4,0,0,2,1,25000
2,950,2,4,2,1,2,0,180000
1,600,2,4,2,1,1,0,6000
2,700,2,4,2,1,2,0,14000
3,750,1,4,2,2,1,0,8000
2,1000,1,4,2,1,1,0,8000
1,220,1,4,0,1,1,0,6000
1,300,2,4,1,0,1,1,8000
1,300,2,4,2,1,1,1,6000
1,700,1,4,1,1,1,0,20000
3,800,1,4,2,1,2,0,12000
3,1600,1,4,2,1,2,0,15000
2,1000,2,4,2,1,2,0,14000
1,20,1,4,2,1,1,0,5000
2,400,2,4,2,1,1,0,7000
1,200,1,4,0,1,1,0,3900
3,840,2,4,2,0,2,0,14000
1,300,2,4,2,1,1,1,6300
2,550,2,4,0,1,2,1,13000
1,300,2,4,2,1,1,1,6800
2,800,1,4,2,1,2,0,8000
2,740,2,4,2,0,1,0,10000
2,1300,1,4,2,1,2,0,18000
2,650,1,4,1,1,1,0,8000
2,490,1,4,1,1,1,0,8000
1,250,1,4,0,1,1,0,4700
1,250,1,4,0,1,1,0,4700
1,450,1,4,2,1,1,0,4500
1,300,2,4,1,1,1,0,6000
2,750,1,4,2,1,2,0,16000
1,250,1,4,0,1,1,0,4700
2,751,2,4,2,0,1,0,14000
2,900,2,4,1,0,1,0,9000
2,400,2,4,1,1,1,0,5000
2,1000,2,4,1,1,2,1,17500
2,1000,2,4,2,1,1,0,8500
3,1500,2,4,1,2,2,0,15000
2,750,2,4,2,1,2,0,12500
1,1200,1,4,1,1,1,0,13000
2,700,1,4,2,1,1,0,8000
2,700,2,4,0,1,1,0,8000
2,1000,1,4,1,1,1,0,8000
2,1200,1,4,2,1,2,0,7000
2,550,1,4,0,1,1,0,2200
2,800,2,4,2,0,1,0,8000
2,280,1,4,2,0,1,0,5500
3,1100,1,4,2,1,3,0,20000
2,950,1,4,2,1,1,1,7000
1,250,1,4,0,1,1,0,3500
2,1000,2,4,2,0,1,0,5000
3,1000,2,4,1,1,2,0,20000
2,650,1,4,2,1,1,0,7000
2,700,1,4,2,1,2,0,10000
2,700,2,4,2,0,1,0,7000
3,1000,1,4,1,1,2,0,12000
2,900,2,4,2,0,2,0,14500
1,700,1,4,2,1,1,0,6000
2,700,1,4,2,1,2,0,9500
2,450,2,4,1,1,2,0,10000
1,120,1,4,2,1,1,0,3500
2,800,1,4,1,1,2,0,9000
3,1220,2,4,2,1,2,0,40000
3,1100,1,4,2,1,1,0,16500
3,700,2,4,2,2,2,0,8000
2,800,1,4,0,1,1,0,12000
2,670,1,4,2,2,1,0,6500
4,1300,1,4,2,1,3,0,40000
1,190,1,4,1,1,1,0,5000
2,700,1,4,1,1,1,0,9000
1,240,2,4,2,0,1,0,7000
2,850,2,4,1,2,1,0,18000
1,950,1,4,2,1,2,0,9000
1,450,2,4,0,1,1,0,5500
2,800,2,4,2,0,1,0,7500
2,600,2,4,2,1,1,0,4000
3,800,2,4,2,0,2,0,10500
3,1100,2,4,2,1,2,0,15000
2,800,2,4,0,1,1,0,15000
1,2200,1,4,0,1,3,0,50000
2,950,2,4,2,0,2,0,12000
2,550,2,4,2,1,1,0,11000
2,1800,2,4,2,0,2,0,12000
2,1000,1,4,0,1,1,0,8000
2,600,1,4,1,1,2,0,18000
2,750,2,4,1,1,2,0,8000
2,685,1,4,2,1,1,1,7000
1,44,2,4,0,1,1,0,6500
4,1200,2,4,2,1,1,0,13000
2,500,2,4,2,0,1,0,9000
4,1110,2,4,2,1,2,0,10000
2,1000,1,4,2,1,2,0,12000
2,392,1,4,2,1,1,0,5000
2,700,1,4,2,1,1,0,6000
1,750,1,4,2,1,1,0,5200
3,1500,1,4,2,2,2,0,15000
2,900,1,4,2,1,2,0,9000
1,710,1,4,0,0,1,1,24000
1,400,2,4,2,1,1,0,5500
1,700,2,4,2,0,1,0,10000
2,1000,2,4,1,1,1,0,15000
1,250,1,4,0,1,1,0,4700
1,500,2,4,1,1,1,0,5000
2,450,2,4,1,1,1,0,5000
3,1400,1,4,2,1,1,0,15000
1,500,2,4,1,1,1,0,5000
2,700,2,4,2,1,1,0,6000
3,1200,2,4,1,1,1,0,18000
2,450,2,4,2,0,1,0,8000
1,500,2,4,0,0,1,1,13000
2,400,2,4,2,1,1,0,7500
3,1000,1,4,2,1,2,0,12000
2,750,2,4,2,0,1,0,11000
1,450,1,4,2,2,1,0,6000
3,1000,2,4,2,0,2,1,20000
2,500,2,4,2,0,2,0,7000
4,1600,2,4,2,0,2,1,30000
2,550,2,4,2,0,1,0,7500
1,550,1,4,2,1,2,0,6500
1,200,1,4,2,1,1,0,3000
2,650,2,4,2,0,1,0,5200
2,1000,1,4,0,1,2,0,25000
2,680,2,4,2,1,2,0,12500
2,720,2,4,2,1,2,0,8500
2,500,2,4,2,0,1,0,3500
2,800,1,4,2,1,1,0,7000
1,160,1,4,2,1,1,0,3000
2,1200,2,4,2,1,2,1,14000
1,700,1,4,0,1,1,0,18000
1,1000,1,4,1,1,1,0,3500
2,1250,1,4,2,1,2,1,16000
4,1600,1,4,2,1,3,0,35000
2,700,1,4,1,1,1,0,21000
1,450,1,4,2,1,1,0,4500
2,839,1,4,1,1,2,0,15000
1,230,1,4,2,1,1,0,4500
1,1800,1,4,2,1,1,0,5500
2,800,1,4,2,1,2,0,8500
1,500,2,4,1,1,1,0,5000
2,620,2,4,2,0,1,0,8500
2,650,2,4,2,1,1,0,9000
1,550,1,4,1,1,1,1,7500
2,450,2,4,0,0,2,0,7000
3,1350,2,4,2,2,2,0,15000
2,600,1,4,1,1,2,0,7000
3,1200,1,4,0,1,1,0,10000
2,700,1,4,2,1,1,1,7000
3,800,2,4,0,1,2,0,3200
2,600,2,4,1,1,1,0,6000
2,900,1,4,2,1,2,0,12000
2,750,1,4,2,1,1,0,6000
3,1250,1,4,2,1,2,0,10000
3,1000,1,4,1,1,3,0,12000
2,600,1,4,1,1,1,0,8000
2,650,2,4,2,1,1,0,5300
2,450,2,4,2,0,1,0,5000
3,800,1,4,2,1,2,0,8500
3,1000,2,4,1,1,2,0,22000
2,1000,1,4,2,1,1,0,7000
3,1400,2,4,0,0,3,1,25000
2,600,2,4,1,0,1,0,7000
2,723,2,4,0,2,1,0,15000
1,320,2,4,2,1,1,0,6000
2,900,1,4,1,1,1,0,8000
3,1400,2,4,0,1,2,1,40000
1,2160,1,4,1,0,1,0,6000
2,650,2,4,1,1,1,0,15000
2,800,1,4,1,1,1,0,6500
3,800,1,4,1,1,1,0,8000
1,500,2,4,2,1,1,0,5500
3,1700,1,4,1,1,2,0,9000
1,130,2,4,1,1,1,0,6000
1,505,1,4,0,1,1,0,15000
4,4000,1,4,0,1,3,1,30000
3,1250,1,4,2,1,2,0,30000
1,700,2,4,2,1,1,0,5000
2,900,1,4,2,0,1,0,15000
1,650,1,4,1,1,1,0,6500
2,750,1,4,0,1,1,0,4500
2,450,2,4,2,1,1,0,7000
1,350,2,4,1,1,1,0,6500
1,480,2,4,0,0,2,0,17500
2,900,1,4,2,1,1,0,10000
1,200,1,4,1,1,1,0,1500
3,1100,1,4,2,1,3,0,25000
2,800,2,4,2,1,1,0,12000
3,1000,2,4,0,1,2,0,7500
1,800,2,4,2,1,1,0,7000
1,200,1,4,1,1,1,0,3500
3,1190,2,4,2,1,2,0,10000
2,900,2,4,2,0,2,1,14000
2,1500,1,4,2,1,2,0,15000
2,600,1,4,2,1,1,0,6500
3,800,1,4,2,1,1,0,10000
2,800,2,4,2,2,2,0,10500
3,900,2,4,1,1,2,0,10000
1,350,2,4,1,1,1,0,5000
2,800,2,4,2,1,1,0,9000
2,1600,2,4,2,0,2,0,20000
3,1012,2,4,1,1,2,0,35000
3,1200,2,4,2,0,2,0,15000
2,700,1,4,0,1,1,0,20000
2,1000,1,4,1,1,1,0,12000
2,800,2,4,2,0,1,0,8000
1,500,1,4,1,1,1,0,3000
3,1200,2,4,1,0,2,0,20000
1,450,2,4,2,0,1,1,9000
3,950,2,4,2,1,2,0,13000
1,350,2,4,2,1,1,1,7000
1,450,2,4,2,1,1,1,9000
1,550,2,4,1,0,1,0,9000
2,300,2,4,2,0,1,0,10000
3,1250,1,4,1,1,2,0,15000
2,700,1,4,2,1,1,0,7000
3,812,1,4,2,1,2,0,8000
2,550,1,4,2,1,1,0,8000
1,500,1,4,1,1,1,0,5000
1,320,2,4,0,0,1,0,14000
2,600,1,4,2,1,1,0,5000
2,420,2,4,2,0,1,0,5000
3,1100,1,4,2,0,1,0,12000
1,220,1,4,2,1,1,0,3200
2,700,2,4,1,1,2,0,8500
3,1200,2,4,2,1,2,1,16000
2,800,2,4,2,1,2,0,14000
1,300,2,4,0,0,1,1,8000
2,650,2,4,2,1,1,0,7000
1,600,1,4,0,1,1,0,8000
1,350,1,4,2,1,1,0,3000
1,500,2,4,2,0,1,0,3800
1,400,1,4,2,1,1,0,6500
3,1750,1,4,1,1,3,0,20000
3,1600,1,4,2,1,2,0,30000
1,300,2,4,1,1,1,1,8000
2,1100,1,4,1,1,2,0,14000
2,830,1,4,2,1,1,0,7200
2,600,2,4,1,1,2,0,7000
1,500,1,4,2,0,2,0,7000
2,900,2,4,2,1,1,0,7500
2,1250,2,4,2,2,2,0,8500
2,700,2,4,2,0,1,1,12000
1,850,2,4,2,0,2,0,8500
2,550,2,4,2,1,1,0,9500
2,550,2,4,0,1,2,0,7500
2,1200,1,4,2,1,1,0,12000
3,1100,2,4,2,0,2,1,20000
2,650,1,4,1,1,1,0,8500
3,1050,2,4,2,0,2,1,20000
2,960,1,4,1,1,2,0,6000
2,650,2,4,2,1,2,0,5500
1,550,1,4,1,1,1,0,7000
2,500,1,4,1,1,2,0,7000
1,450,1,4,2,2,1,0,6500
2,850,1,4,2,0,2,0,10000
1,300,2,4,2,1,1,1,5200
2,1000,2,4,1,1,3,0,13000
2,500,2,4,2,1,1,0,7000
2,756,2,4,1,1,1,0,12000
1,1000,1,4,2,1,1,0,15000
1,150,2,4,2,1,1,0,5000
1,800,2,4,2,0,1,0,8000
2,700,1,4,2,0,2,1,8000
1,420,1,4,2,0,1,0,5000
2,800,1,4,2,0,1,1,10000
2,288,2,4,2,0,1,0,12000
2,900,1,4,2,1,2,0,8000
2,850,2,4,2,0,2,1,21000
1,350,2,4,2,0,1,0,5000
2,600,1,4,2,1,1,0,9000
2,1600,2,4,1,0,1,0,8000
2,986,2,4,2,0,1,0,7000
3,1330,2,4,2,0,2,1,35000
3,1300,1,4,1,1,2,0,15000
2,800,2,4,2,0,1,0,6200
2,800,2,4,2,1,1,0,9900
2,850,1,4,2,0,1,0,7000
1,322,2,4,2,1,1,1,5000
2,800,2,4,0,1,1,0,6500
4,1500,2,4,2,0,2,1,40000
3,3500,1,4,1,1,2,0,40000
2,957,2,4,0,0,2,0,12000
1,850,2,4,2,0,1,0,6500
2,900,2,4,2,0,2,0,10000
2,600,1,4,1,1,1,0,15000
1,350,2,4,1,1,1,0,5000
2,800,1,4,2,1,1,0,7000
2,320,2,4,2,1,1,0,6000
3,800,2,4,2,1,1,0,15000
2,700,2,4,1,0,2,0,10000
2,1200,1,4,1,1,2,1,22000
2,750,2,4,1,1,1,0,8500
3,1200,1,4,1,1,3,1,35000
2,450,2,4,2,1,1,0,7000
3,1430,1,4,1,1,1,0,8500
2,450,1,4,2,1,1,1,6000
4,800,1,4,1,1,3,0,35000
1,400,1,4,2,1,1,0,6000
2,650,1,4,2,1,1,0,8000
1,450,2,4,2,1,1,0,5000
2,600,1,4,2,1,1,0,6000
3,1200,2,4,2,2,2,0,15000
2,700,2,4,2,0,1,0,9000
1,300,2,4,2,0,1,1,5000
3,1200,1,4,2,1,3,0,8000
3,1300,2,4,2,0,2,1,35000
1,400,1,4,2,1,1,1,5500
3,1320,2,4,2,0,2,1,35000
2,1000,1,4,0,1,2,0,11000
2,700,2,4,2,0,1,0,10000
2,800,2,4,2,1,2,0,6500
2,900,1,4,0,1,1,0,6000
3,1700,1,4,2,1,2,0,36125
2,600,2,4,2,0,1,0,6800
2,850,2,4,2,2,2,0,8500
2,550,2,4,2,0,1,0,5000
1,650,2,4,0,1,1,0,6500
1,800,2,4,2,1,1,0,6500
2,475,1,4,2,1,1,0,4500
1,200,2,4,2,1,1,1,6000
1,400,2,4,2,1,1,1,10000
1,500,1,4,0,1,1,1,12000
2,550,2,4,2,1,1,1,12000
2,800,1,4,2,1,1,0,12000
2,1000,1,4,0,1,2,0,9000
1,400,2,4,1,0,1,0,5000
1,300,2,4,2,1,1,1,6000
2,450,2,4,2,1,1,0,5500
2,450,2,4,2,1,1,0,5500
2,1100,2,4,2,1,2,0,8500
1,450,1,4,2,1,1,0,5000
2,1100,2,4,2,0,2,0,23000
2,650,2,4,2,1,1,0,5500
2,780,2,4,2,0,1,0,8500
3,1100,1,4,1,1,2,0,22000
1,800,1,4,2,1,1,0,5500
1,500,1,4,1,1,2,1,7000
1,400,2,4,2,0,1,0,5000
1,450,2,4,2,1,1,0,5000
2,550,1,4,2,1,1,1,6500
2,600,2,4,2,1,1,0,8000
1,200,1,4,2,1,1,0,5500
2,500,2,4,1,1,1,0,6000
1,450,2,4,2,0,1,0,5500
2,1050,1,4,2,1,2,0,10000
3,1000,2,4,2,0,2,0,10000
2,1200,1,4,1,1,2,0,10000
3,1100,1,4,1,2,2,0,12000
1,220,1,4,2,1,1,0,5200
1,350,1,4,2,1,1,0,4000
3,1100,2,4,2,0,1,0,30000
2,800,1,4,2,1,1,0,5146
2,950,1,4,2,1,1,0,12000
3,1200,1,4,2,1,1,0,7000
2,700,1,4,1,1,1,0,8500
1,500,1,4,2,1,1,0,7000
2,570,1,4,2,1,1,0,9500
2,650,1,4,2,1,1,0,8000
3,1200,1,4,2,1,3,0,15000
5,960,1,4,2,1,2,0,22500
2,1250,1,4,1,1,2,0,12500
3,120,1,4,0,1,2,0,34000
3,950,2,4,1,1,2,0,14000
1,600,2,4,2,1,1,1,9500
2,750,1,4,2,1,1,0,7000
3,1200,1,4,2,1,2,0,20000
1,400,2,4,1,1,1,1,6500
1,600,2,4,0,1,1,0,7500
2,700,1,4,2,1,1,0,6500
2,850,1,4,1,1,1,0,9500
1,500,1,4,1,1,1,0,1800
2,650,2,4,2,1,1,0,7500
2,800,1,4,1,1,2,0,10000
3,830,1,4,2,1,2,0,15000
2,600,1,4,2,0,1,1,7000
2,800,1,4,2,1,1,0,6000
2,1200,1,4,1,2,2,0,14000
2,1000,1,4,0,1,2,0,22000
2,750,2,4,2,1,2,1,18000
2,800,2,4,2,0,2,0,10000
2,1200,1,4,2,1,2,0,6000
2,750,2,4,2,1,1,0,10000
3,1500,1,4,1,1,2,0,10000
1,300,1,4,2,1,1,0,5000
3,800,2,4,2,0,1,0,10000
2,450,1,4,2,1,2,0,7000
4,1200,1,4,0,1,2,0,10000
2,500,1,4,1,1,2,0,6000
2,900,2,4,1,1,2,0,18000
2,460,2,4,2,0,1,0,8000
2,530,1,4,1,2,1,0,8000
2,650,2,4,1,1,2,0,13000
2,700,2,4,1,0,2,0,20000
2,400,1,4,2,1,1,0,6000
2,1000,1,4,2,1,2,0,12000
1,400,2,4,1,0,1,0,10000
2,700,2,4,2,0,2,0,14000
2,850,2,4,1,0,2,0,10000
2,558,2,4,2,1,2,1,10500
2,800,1,4,2,1,1,0,6000
2,900,2,4,2,1,2,0,12000
3,1600,1,4,0,1,2,0,14000
1,150,2,4,2,0,1,0,3700
3,1600,2,4,2,0,2,1,40000
3,1000,1,4,2,1,1,0,25000
1,700,1,4,2,1,1,0,2200
1,175,1,4,2,1,1,0,3300
1,450,1,4,1,1,1,0,5000
3,1700,2,4,1,0,3,1,60000
2,425,2,4,2,1,1,0,6000
3,900,1,4,1,1,3,0,7000
1,400,2,4,2,1,1,1,5000
2,600,1,4,2,1,1,1,11000
2,721,1,4,0,1,2,0,10000
3,1150,2,4,2,1,2,1,22000
3,2210,2,4,2,1,3,0,65000
2,675,1,4,2,1,1,0,7500
2,1320,1,4,0,1,2,0,45000
1,250,2,4,2,1,1,1,5000
2,720,1,4,2,0,2,0,12000
5,1880,2,4,2,0,2,0,25000
3,850,2,4,1,1,3,0,18000
2,1050,2,4,2,1,2,0,25000
1,320,1,5,1,1,1,0,25000
2,750,2,5,0,1,2,1,70000
1,450,2,5,0,1,1,1,45000
3,1100,2,5,2,2,3,1,75000
1,640,1,5,0,1,1,0,14000
1,650,1,5,2,0,1,1,60000
2,800,2,5,2,1,2,0,160000
4,1600,2,5,1,1,5,1,300000
1,460,1,5,2,1,1,0,22000
4,1650,2,5,1,1,4,1,130000
1,480,2,5,1,0,2,1,33000
1,500,2,5,0,0,2,1,32000
1,490,2,5,1,0,2,1,30000
1,620,1,5,0,1,1,0,49000
2,518,2,5,1,1,2,0,28000
2,700,2,5,1,1,2,1,33500
2,777,2,5,1,1,2,1,85000
2,650,2,5,2,2,2,1,35000
3,1800,2,5,1,1,4,1,270000
5,2308,2,5,0,2,5,1,400000
1,425,2,5,2,1,2,1,21000
2,890,2,5,2,0,2,0,150000
1,270,1,5,2,1,1,0,22000
2,850,2,5,1,0,2,1,100000
2,888,2,5,1,1,2,1,60000
2,650,2,5,1,2,2,1,8000
1,275,2,5,2,0,1,1,20000
2,700,2,5,1,2,2,1,20000
1,375,1,5,2,1,1,0,25000
1,424,1,5,1,1,1,0,14000
1,400,1,5,0,1,2,0,19411
1,450,2,5,0,1,1,1,23000
4,2079,2,5,1,1,5,1,190000
2,586,1,5,1,1,1,0,32000
2,610,2,5,0,1,2,0,68000
1,488,2,5,1,1,2,0,30000
3,1200,2,5,1,1,3,1,110000
2,722,2,5,1,1,2,1,44000
1,450,2,5,2,1,1,1,20000
1,500,1,5,1,1,2,0,25000
2,680,2,5,0,0,2,1,40000
2,1150,2,5,2,1,2,1,43000
2,830,2,5,0,0,2,1,44000
1,550,2,5,0,1,1,1,75000
1,470,2,5,1,2,2,1,32000
1,410,2,5,1,2,2,1,16000
2,710,2,5,1,1,2,1,65000
2,750,2,5,1,1,2,1,45000
2,800,2,5,2,1,2,1,57000
1,435,2,5,2,1,2,1,27000
1,500,2,5,1,1,1,1,57000
2,800,2,5,0,1,2,1,55000
1,540,2,5,1,2,2,1,40000
2,1050,2,5,2,1,2,1,95000
2,700,2,5,1,1,2,1,85000
4,1600,2,5,1,1,4,1,300000
2,600,2,5,0,1,1,1,80000
1,300,1,5,2,1,2,0,13000
1,550,2,5,2,0,2,0,28000
3,932,2,5,1,1,3,1,89000
1,450,2,5,2,1,2,1,28000
2,600,2,5,2,1,2,0,13000
1,424,2,5,2,1,2,1,24000
2,560,2,5,0,0,2,0,38000
1,450,2,5,2,0,2,1,32000
4,3000,2,5,1,1,5,1,350000
1,600,2,5,0,2,2,1,40000
3,1400,2,5,0,0,3,1,150000
2,630,2,5,2,0,2,1,45000
3,1400,2,5,2,1,3,1,170000
1,320,1,5,0,2,1,0,30000
2,1000,2,5,2,0,2,1,210000
3,1150,2,5,2,1,3,1,75000
2,751,2,5,1,2,2,1,47000
2,570,2,5,0,2,2,1,14000
2,696,2,5,1,1,2,1,55000
4,1600,2,5,2,2,4,1,120000
3,2500,2,5,1,0,3,1,300000
3,1150,2,5,2,1,3,1,70000
3,1500,2,5,1,1,4,1,150000
3,950,2,5,0,1,3,1,62000
2,750,2,5,2,0,2,1,42000
2,715,2,5,0,1,2,1,130000
3,1337,2,5,0,1,3,1,170000
3,737,2,5,1,0,3,1,20000
2,750,2,5,2,0,2,1,41000
2,760,2,5,1,1,2,1,65000
2,750,2,5,1,1,2,1,50000
2,650,2,5,1,0,2,1,85000
2,1000,1,5,1,1,2,0,50000
1,570,2,5,2,1,1,0,30000
2,900,2,5,1,2,2,1,120000
2,760,2,5,2,2,2,1,60000
3,1500,2,5,2,1,4,1,110000
3,1150,2,5,2,2,3,1,84500
3,1100,2,5,1,2,3,1,80000
3,1000,2,5,0,1,3,1,50000
2,720,2,5,2,0,2,1,40000
1,365,2,5,0,2,1,1,34000
4,2000,2,5,0,1,4,1,220000
1,400,2,5,2,1,1,1,25000
3,1330,2,5,1,1,4,1,150000
3,850,2,5,1,2,3,1,85000
4,2000,2,5,0,1,5,1,180000
2,700,2,5,1,1,2,1,40000
2,900,2,5,1,0,2,1,50000
2,650,2,5,0,2,2,1,38000
4,2600,2,5,2,2,4,1,310000
2,680,2,5,2,1,2,1,50000
3,950,2,5,1,1,3,1,65000
4,1783,2,5,1,1,3,0,210000
3,1330,2,5,2,1,3,1,150000
1,565,1,5,2,1,2,0,32000
1,450,2,5,2,1,1,1,26000
2,710,2,5,1,1,2,1,60000
3,1514,2,5,1,1,4,1,190000
3,1080,2,5,2,1,3,1,100000
2,700,2,5,2,2,2,1,35000
3,890,2,5,2,1,2,1,68000
3,1250,2,5,1,1,3,1,150000
1,300,1,5,1,1,1,0,18000
2,720,2,5,2,1,2,1,55000
3,825,2,5,0,2,3,1,65000
2,500,2,5,0,1,2,0,80000
2,750,2,5,1,1,2,1,53000
2,750,2,5,1,1,2,1,80000
1,360,2,5,0,1,1,1,18000
4,1545,2,5,1,2,5,1,250000
1,400,2,5,2,1,1,1,17500
3,750,2,5,2,2,2,1,43000
1,432,2,5,2,2,2,1,13500
2,780,2,5,2,2,2,1,18000
2,695,2,5,1,1,1,1,75000
1,375,2,5,2,1,1,1,18000
3,1095,2,5,1,1,3,1,160000
1,475,2,5,1,2,2,1,32000
2,790,2,5,2,1,2,1,55000
2,661,2,5,1,1,2,1,47000
2,700,2,5,1,1,2,1,35000
1,420,2,5,1,2,1,1,15000
2,750,2,5,2,1,2,1,50000
2,950,1,5,1,1,3,0,25500
5,1880,2,5,0,2,5,1,350000
3,1350,2,5,0,1,3,1,55000
1,330,1,5,1,2,1,0,25000
2,750,2,5,2,1,2,1,50000
2,925,2,5,0,1,3,1,65000
3,1150,2,5,1,2,3,1,50000
3,1105,2,5,2,1,3,1,65000
3,1050,2,5,0,0,3,1,160000
1,410,2,5,1,0,1,1,25000
1,460,2,5,2,1,2,1,32000
1,600,1,5,1,1,1,0,21000
1,570,1,5,0,1,2,0,20000
2,720,2,5,0,1,2,1,55000
1,500,2,5,1,0,2,0,32000
4,1460,2,5,1,1,4,1,150000
1,415,2,5,2,0,2,1,30000
3,1400,2,5,1,1,3,1,150000
1,270,2,5,2,1,1,1,27000
2,585,2,5,1,1,2,1,47000
4,1755,2,5,2,2,4,1,150000
1,550,2,5,0,2,2,0,27000
3,1300,2,5,1,1,4,1,160000
2,1200,1,5,0,1,2,1,100000
2,600,2,5,1,1,2,1,45002
2,700,2,5,1,1,2,1,48000
1,385,2,5,2,1,1,1,18000
1,500,2,5,1,0,1,0,7500
2,850,2,5,1,1,2,1,50000
3,900,2,5,1,2,2,1,55000
1,400,2,5,2,1,1,1,26000
2,600,2,5,2,0,2,0,17000
2,750,2,5,1,2,2,1,40000
2,628,2,5,2,1,2,1,43000
3,1330,2,5,2,0,4,1,140000
3,1064,2,5,2,1,3,1,140000
3,1200,2,5,0,2,3,1,120000
4,2200,2,5,0,1,4,1,400000
2,630,2,5,1,2,2,1,21000
2,650,2,5,2,1,2,1,40000
2,845,1,5,0,1,2,0,40000
3,1915,1,5,1,1,3,1,230000
2,900,1,5,1,1,2,0,20000
2,807,2,5,2,0,2,1,60000
2,1100,1,5,1,1,2,0,35000
3,1600,1,5,1,1,5,0,300000
2,790,1,5,2,1,2,0,6500
1,380,2,5,2,1,1,0,15000
2,650,2,5,2,2,2,1,38000
2,800,2,5,1,2,2,1,35000
2,830,1,5,1,1,2,0,32000
1,410,2,5,2,0,1,0,16000
1,428,2,5,1,1,2,1,33000
1,550,1,5,1,1,1,0,8500
2,630,2,5,2,0,2,1,60000
1,550,1,5,2,0,2,0,20000
